step,vehicle_count,speed,co2_emission,congestion
2048,81,9.38777972220045,2949.1106125746865,0
2049,80,8.97356295332126,2532.08218449445,0
2050,78,8.843086591085804,3029.6979431240065,0
2051,78,8.997926745193203,3821.0196853533503,0
2052,78,8.850081397146056,3473.895099851502,0
2053,77,8.861021993396246,3132.349159970189,0
2054,77,8.761788910002862,2867.6330943355983,0
2055,78,8.528457750193576,2659.611268412797,0
2056,78,8.289911164099575,2294.9126949915594,0
2057,78,8.399523935053427,3063.6650310291852,0
2058,78,8.149720199985182,2280.335357710743,0
2059,78,8.061926428311374,2823.6777911039026,0
2060,78,7.92301214459173,2734.6561239270823,0
2061,79,7.553756754825947,2092.4471677517795,0
2062,79,7.679256061230139,2715.4714579791566,0
2063,78,7.536657531244106,2375.995027633678,0
2064,78,7.196129050501459,2024.4399417221418,0
2065,78,7.188922141510181,2468.987714089909,0
2066,78,7.214310410520475,2517.769189426365,0
2067,79,7.048716424317915,2305.652367821851,0
2068,79,6.978110124951421,2374.171486693715,0
2069,78,7.018259803197123,2551.684039120643,0
2070,79,6.770067672582288,1997.5864798680527,0
2071,79,6.438600281856238,2069.085191140744,0
2072,78,6.128628610318069,2067.0387126868295,0
2073,78,5.822509060706013,2385.636907748916,0
2074,78,5.894854298123134,2556.6578296430644,0
2075,77,6.163805430446216,2823.4550671453417,0
2076,78,6.364790487865664,2962.234440918249,0
2077,77,6.623123663180746,2876.3736403474295,0
2078,77,6.833136578774472,2892.964568439547,0
2079,77,6.617692782139168,2554.0363373921605,0
2080,77,6.579767258553375,2495.6900963857606,0
2081,77,6.612418883181318,2451.0941725673165,0
2082,78,6.663040813312305,2706.927378551794,0
2083,78,6.648542479065977,2823.283810010243,0
2084,78,6.584327412362319,2530.198256968765,0
2085,79,6.50230913297424,2654.4581615576467,0
2086,79,6.39580713338166,2423.5975390987383,0
2087,77,5.960395757789244,2555.499685801558,0
2088,77,5.704063735436707,2838.398076269954,0
2089,77,5.811491115447252,2430.4527211155014,0
2090,77,5.917204126982892,2763.7523075986214,0
2091,78,5.88138937794602,2907.2475711272223,0
2092,77,5.945332686696012,2818.89602876871,0
2093,77,5.947816975532359,2785.2025663946392,0
2094,78,5.8104665029065785,2147.9200306789085,0
2095,78,5.804998413151357,2290.7506734573008,0
2096,78,5.972417635706855,2584.2540326401336,0
2097,79,5.934559347477687,2252.1152901914134,0
2098,79,6.110009113333719,2515.366450823334,0
2099,78,6.027256825560663,2037.6459685720974,0
2100,79,5.777988920538631,1983.0665245652276,0
2101,79,6.047710023703678,2773.585777654467,0
2102,79,6.222170932017338,2438.5653515892313,0
2103,80,6.424019597810789,2779.876638100863,0
2104,78,6.6320562370692455,2908.720232658841,0
2105,78,6.733745968150786,2594.5764376867146,0
2106,79,6.768993387307388,2782.5737256080747,0
2107,79,6.849264870024641,2547.888915523567,0
2108,78,6.895004349150058,3225.0422547891385,0
2109,78,6.910586223340625,2879.4404377186233,0
2110,77,7.042277391158115,3253.867550795936,0
2111,77,7.226101995697932,3281.7063213181864,0
2112,78,7.324362749243469,3409.417147693225,0
2113,77,7.1737555656935434,2510.503834158078,0
2114,77,7.145137797428801,2838.8577937770924,0
2115,77,6.948399808760517,2200.3505304512905,0
2116,77,7.021678018106388,2234.038657236944,0
2117,77,7.032741934941631,2352.650126497224,0
2118,78,7.011236220170783,2741.2491296332205,0
2119,78,7.299296135375168,3210.891630788075,0
2120,78,7.459574352357864,3040.1476298232105,0
2121,79,7.521549818215038,3106.116105834074,0
2122,79,7.7685027945693435,2895.3998632280554,0
2123,78,7.907548044575624,3168.0956673210485,0
2124,79,8.026150977438816,3098.7174863077103,0
2125,79,8.300826865220898,3129.867855730382,0
2126,77,8.85473142047301,3740.3176524380233,0
2127,78,9.305586490467544,4146.626175395792,0
2128,76,9.227620735600507,3400.514297697729,0
2129,76,9.375264623953472,3746.888423791987,0
2130,77,9.431447096515132,3692.371951368081,0
2131,77,9.462366221485116,3475.4079203676883,0
2132,76,9.290062730947277,2919.4463189588973,0
2133,77,9.013152675584797,2838.259289825148,0
2134,77,8.869450196972307,2917.902993906534,0
2135,77,8.532307527403553,2554.713419846483,0
2136,78,8.115079953343859,2383.5488442252504,0
2137,78,7.855295600259219,2528.0517855970797,0
2138,78,7.473459874805544,2388.711539099099,0
